시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지,주차가능대수,공-사설구분,빈소수,안치가능구수,식당,매점,주차장,유족대기실,장애인편의시설,운영종류
서울특별시,강남구,삼성서울병원장례식장,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-3151,,www.samsunghospital.com/funeral,425,사설,14,26,설치,설치,설치,설치,설치,병원
서울특별시,강남구,연세대학교 강남장례식장,"서울특별시 강남구 언주로 211 (도곡동, 강남세브란스병원)",02-2019-4000,,gangnam.yonseifuneral.com/index.asp,0,사설,4,10,설치,설치,설치,미설치,미설치,병원
서울특별시,강동구,강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",02-440-8800,02-440-8906,funeral.khuhs.or.kr,0,사설,8,14,설치,설치,설치,설치,설치,병원
서울특별시,강동구,강동성심병원장례식장,"서울특별시 강동구 성안로 150 (길동, 강동성심병원)",02-470-1692,02-488-0114,kangdong.hallym.or.kr,330,사설,9,16,설치,설치,설치,설치,설치,병원
서울특별시,강동구,동주병원장례식장,서울특별시 강동구 천호대로170길 19 (성내동),02-471-4444,,,30,사설,3,6,미설치,설치,설치,설치,미설치,병원
서울특별시,강동구,서울현대요양병원장례식장,"서울특별시 강동구 올림픽로 684 (천호동, 친구병원)",02-486-4444,02-486-4440,,70,사설,4,6,설치,설치,설치,설치,설치,병원
서울특별시,강동구,한국보훈복지의료공단중앙보훈병원,"서울특별시 강동구 진황도로61길 53 (둔촌동, 중앙보훈병원)",02-2225-1004,02-2225-1040,seoul.bohun.or.kr,100,공설,13,18,설치,설치,설치,설치,설치,병원
서울특별시,강북구,대한병원장례식장,서울특별시 강북구 도봉로 301 (수유동),02-992-4444,,,50,사설,5,8,설치,설치,설치,설치,미설치,병원
서울특별시,강북구,서울좋은병원장례식장,서울특별시 강북구 도봉로 114 (미아동),02-984-5000,,www.goodfuneral.co.kr,30,사설,4,6,설치,미설치,설치,설치,미설치,병원
서울특별시,강서구,강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),02-2661-4444,02-2661-4448,,100,사설,4,6,설치,설치,설치,설치,미설치,병원
서울특별시,강서구,강서장례식장,서울특별시 강서구 화곡로 163 (화곡동),02-2691-4414,02-2606-0444,ksfuneral.modoo.at,20,사설,3,6,설치,설치,설치,설치,미설치,전문
서울특별시,강서구,이대서울병원장례식장,"서울특별시 강서구 공항대로 260 (마곡동, 이화의대부속서울병원)",02-6986-4440,02-6986-4486,seoul.eumc.ac.kr/funeral/main.do,1000,사설,15,38,설치,설치,설치,설치,설치,병원
서울특별시,관악구,주식회사정겨운(우신장례식장),"서울특별시 관악구 시흥대로 572 지하층 우신장례식장 (신림동, 한성빌딩)",02-838-4444,02-859-4579,,30,사설,2,6,설치,설치,설치,설치,미설치,전문
서울특별시,광진구,건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),02-2030-7900,,www.kuh.ac.kr/funeral/main.do,680,사설,9,17,설치,설치,설치,설치,설치,병원
서울특별시,광진구,혜민병원장례식장,서울특별시 광진구 자양로 85 (자양동),02-444-1552,02-3436-1553,www.e-hyemin.co.kr,32,사설,4,8,설치,설치,설치,설치,미설치,전문
서울특별시,구로구,고려대구로병원장례식장,"서울특별시 구로구 구로동로 148 (구로동, 고려대부속구로병원)",02-857-0444,,www.funeral.or.kr,945,사설,11,20,설치,설치,설치,미설치,설치,병원
서울특별시,구로구,구로성심병원장례식장,서울특별시 구로구 경인로 427 (고척동),02-2067-1544,,,120,사설,3,10,설치,설치,설치,설치,미설치,병원
